huc08,huc08_name,huc06_name,huc04_name,huc02_name,huc08_states,huc08_areasqkm
1010002,Allagash River,St. John,St. John,New England Region,ME,3198.37
1010003,Fish River,St. John,St. John,New England Region,ME,2306.21
1010004,Aroostook River,St. John,St. John,New England Region,"CN,ME",6321.09
1010005,Meduxnekeag River,St. John,St. John,New England Region,"CN,ME",1327.99
1010006,Headwaters Saint John River,St. John,St. John,New England Region,"CN,ME",3135.27
1010007,Big Black River-Saint John River,St. John,St. John,New England Region,"CN,ME",3844.67
1010008,Saint Francis River-Saint John River,St. John,St. John,New England Region,"CN,ME",6027.43
1010009,Little River-Saint John River,St. John,St. John,New England Region,"CN,ME",4161.24
1010010,Becaguimec Stream-Saint John River,St. John,St. John,New England Region,"CN,ME",2529.42
1010011,Keswick River-Saint John River,St. John,St. John,New England Region,"CN,ME",3633.61
1020001,West Branch Penobscot River,Penobscot,Penobscot,New England Region,"CN,ME",5520.64
1020002,East Branch Penobscot River,Penobscot,Penobscot,New England Region,ME,2899.62
1020003,Mattawamkeag River,Penobscot,Penobscot,New England Region,ME,3915.12
1020004,Piscataquis River,Penobscot,Penobscot,New England Region,ME,3764.07
1020005,Penobscot River,Penobscot,Penobscot,New England Region,ME,6200.16
1030001,Upper Kennebec River,Kennebec,Kennebec,New England Region,"CN,ME",4133.45
1030002,Dead River,Kennebec,Kennebec,New England Region,"CN,ME",2270.94
1030003,Lower Kennebec River,Kennebec,Kennebec,New England Region,ME,8885.32
1040001,Upper Androscoggin River,Androscoggin,Androscoggin,New England Region,"CN,ME,NH",3548.65
1040002,Lower Androscoggin River,Androscoggin,Androscoggin,New England Region,"ME,NH",5588.65
1050001,Saint Croix River,Maine Coastal,Maine Coastal,New England Region,"CN,ME",4261.7
1050002,Maine Coastal,Maine Coastal,Maine Coastal,New England Region,ME,12478.36
1050003,St. George-Sheepscot,Maine Coastal,Maine Coastal,New England Region,ME,3546.27
1050004,Passamaquoddy Bay-Bay of Fundy,Maine Coastal,Maine Coastal,New England Region,"CN,ME",9671.01
1060001,Presumpscot,Saco,Saco,New England Region,ME,3687.29
1060002,Saco River,Saco,Saco,New England Region,"ME,NH",4405.46
1060003,Piscataqua-Salmon Falls,Saco,Saco,New England Region,"MA,ME,NH",4475.34
1070001,Pemigewasset River,Merrimack,Merrimack,New England Region,NH,2646.8
1070002,Winnipesaukee River,Merrimack,Merrimack,New England Region,NH,1256.75
1070003,Contoocook River,Merrimack,Merrimack,New England Region,NH,1978.89
1070004,Nashua River,Merrimack,Merrimack,New England Region,"MA,NH",1379.27
1070005,Concord River,Merrimack,Merrimack,New England Region,MA,1034.88
1070006,Merrimack River,Merrimack,Merrimack,New England Region,"MA,NH",4666.28
1080101,Headwaters Connecticut River,Upper Connecticut,Connecticut,New England Region,"CN,ME,NH,VT",3702.7
1080102,Passumpsic River,Upper Connecticut,Connecticut,New England Region,"NH,VT",1305.61
1080103,Ammonoosuc River-Connecticut River,Upper Connecticut,Connecticut,New England Region,"NH,VT",2402.57
1080104,Waits River-Connecticut River,Upper Connecticut,Connecticut,New England Region,"NH,VT",1339.58
1080105,White River,Upper Connecticut,Connecticut,New England Region,VT,1843.74
1080106,Black River-Connecticut River,Upper Connecticut,Connecticut,New England Region,"NH,VT",3423.31
1080107,West River-Connecticut River,Upper Connecticut,Connecticut,New England Region,"NH,VT",2199.14
1080201,Ashuelot River-Connecticut River,Lower Connecticut,Connecticut,New England Region,"MA,NH,VT",2636.52
1080202,Millers River,Lower Connecticut,Connecticut,New England Region,"MA,NH",1007.47
1080203,Deerfield River,Lower Connecticut,Connecticut,New England Region,"MA,VT",1718.41
1080204,Chicopee River,Lower Connecticut,Connecticut,New England Region,MA,1871.78
1080205,Outlet Connecticut River,Lower Connecticut,Connecticut,New England Region,"CT,MA",2809.09
1080206,Westfield River,Lower Connecticut,Connecticut,New England Region,"CT,MA",1342.9
1080207,Farmington River,Lower Connecticut,Connecticut,New England Region,"CT,MA",1571.47
1090001,Charles,Massachusetts-Rhode Island Coastal,Massachusetts-Rhode Island Coastal,New England Region,MA,3864.9
1090002,Cape Cod,Massachusetts-Rhode Island Coastal,Massachusetts-Rhode Island Coastal,New England Region,"MA,RI",8824.58
1090003,Blackstone River,Massachusetts-Rhode Island Coastal,Massachusetts-Rhode Island Coastal,New England Region,"MA,RI",1229.34
1090004,Narragansett,Massachusetts-Rhode Island Coastal,Massachusetts-Rhode Island Coastal,New England Region,"MA,RI",3841.98
1090006,Point Judith-Block Island,Massachusetts-Rhode Island Coastal,Massachusetts-Rhode Island Coastal,New England Region,RI,632.53
1100001,Quinebaug River,Connecticut Coastal,Connecticut Coastal,New England Region,"CT,MA,RI",1913.44
1100002,Shetucket River,Connecticut Coastal,Connecticut Coastal,New England Region,"CT,MA",1363.15
1100003,Thames,Connecticut Coastal,Connecticut Coastal,New England Region,CT,955.39
1100004,Quinnipiac,Connecticut Coastal,Connecticut Coastal,New England Region,CT,1327.4
1100005,Housatonic,Connecticut Coastal,Connecticut Coastal,New England Region,"CT,MA,NY",5054.47
1100006,Saugatuck,Connecticut Coastal,Connecticut Coastal,New England Region,"CT,NY",1163.43
1100007,Pawcatuck River,Connecticut Coastal,Connecticut Coastal,New England Region,"CT,RI",783.9
2020001,Upper Hudson,Upper Hudson,Upper Hudson,Mid Atlantic Region,NY,4309.0
2020002,Sacandaga,Upper Hudson,Upper Hudson,Mid Atlantic Region,NY,2731.57
2020003,Hudson-Hoosic,Upper Hudson,Upper Hudson,Mid Atlantic Region,"MA,NY,VT",4936.17
2020004,Mohawk,Upper Hudson,Upper Hudson,Mid Atlantic Region,NY,6607.02
2020005,Schoharie,Upper Hudson,Upper Hudson,Mid Atlantic Region,NY,2403.86
2020006,Middle Hudson,Upper Hudson,Upper Hudson,Mid Atlantic Region,"MA,NY",6291.93
2020007,Rondout,Upper Hudson,Upper Hudson,Mid Atlantic Region,"NJ,NY",3077.44
2020008,Hudson-Wappinger,Upper Hudson,Upper Hudson,Mid Atlantic Region,NY,2444.65
2030101,Lower Hudson,Lower Hudson,Lower Hudson-Long Island,Mid Atlantic Region,"CT,NJ,NY",1941.73
2030102,Bronx,Lower Hudson,Lower Hudson-Long Island,Mid Atlantic Region,"CT,NY",487.77
2030103,Hackensack-Passaic,Lower Hudson,Lower Hudson-Long Island,Mid Atlantic Region,"NJ,NY",2937.06
2030104,Sandy Hook-Staten Island,Lower Hudson,Lower Hudson-Long Island,Mid Atlantic Region,"NJ,NY",1838.33
2030105,Raritan,Lower Hudson,Lower Hudson-Long Island,Mid Atlantic Region,NJ,2862.82
2030201,Northern Long Island,Long Island,Lower Hudson-Long Island,Mid Atlantic Region,NY,750.51
2030202,Southern Long Island,Long Island,Lower Hudson-Long Island,Mid Atlantic Region,"NJ,NY,RI",5079.5
2030203,Long Island Sound,Long Island,Lower Hudson-Long Island,Mid Atlantic Region,"CT,NY,RI",3082.16
2040101,Upper Delaware,Upper Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,"NY,PA",3082.57
2040102,East Branch Delaware,Upper Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,NY,2176.62
2040103,Lackawaxen,Upper Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,PA,1548.63
2040104,Middle Delaware-Mongaup-Brodhead,Upper Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,"NJ,NY,PA",3962.0
2040105,Middle Delaware-Musconetcong,Upper Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,"NJ,PA",3520.95
2040106,Lehigh,Upper Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,PA,3526.74
2040201,Crosswicks-Neshaminy,Lower Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,"NJ,PA",1408.28
2040202,Lower Delaware,Lower Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,"DE,NJ,PA",2982.08
2040203,Schuylkill,Lower Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,PA,4951.48
2040204,Delaware Bay,Lower Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,"DE,NJ",1073.53
2040205,Brandywine-Christina,Lower Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,"DE,MD,PA",1956.61
2040206,Cohansey-Maurice,Lower Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,"DE,NJ",3094.36
2040207,Broadkill-Smyrna,Lower Delaware,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,DE,1966.72
2040301,Mullica-Toms,Mid Atlantic Coastal,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,"NJ,NY",4467.84
2040302,Great Egg Harbor,Mid Atlantic Coastal,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,NJ,2282.99
2040303,Chincoteague,Mid Atlantic Coastal,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,"DE,MD,NJ,VA",2717.49
2040304,Eastern Lower Delmarva,Mid Atlantic Coastal,Delaware-Mid Atlantic Coastal,Mid Atlantic Region,VA,1961.25
2050101,Upper Susquehanna,Upper Susquehanna,Susquehanna,Mid Atlantic Region,"NY,PA",5927.19
2050102,Chenango,Upper Susquehanna,Susquehanna,Mid Atlantic Region,NY,4163.09
2050103,Owego-Wappasening,Upper Susquehanna,Susquehanna,Mid Atlantic Region,"NY,PA",2705.8
2050104,Tioga,Upper Susquehanna,Susquehanna,Mid Atlantic Region,"NY,PA",3585.33
2050105,Chemung,Upper Susquehanna,Susquehanna,Mid Atlantic Region,"NY,PA",3138.54
2050106,Upper Susquehanna-Tunkhannock,Upper Susquehanna,Susquehanna,Mid Atlantic Region,PA,5192.72
2050107,Upper Susquehanna-Lackawanna,Upper Susquehanna,Susquehanna,Mid Atlantic Region,PA,4572.81
2050201,Upper West Branch Susquehanna,West Branch Susquehanna,Susquehanna,Mid Atlantic Region,PA,4136.01
2050202,Sinnemahoning,West Branch Susquehanna,Susquehanna,Mid Atlantic Region,PA,2677.95
2050203,Middle West Branch Susquehanna,West Branch Susquehanna,Susquehanna,Mid Atlantic Region,PA,2031.23
2050204,Bald Eagle,West Branch Susquehanna,Susquehanna,Mid Atlantic Region,PA,2002.7
2050205,Pine,West Branch Susquehanna,Susquehanna,Mid Atlantic Region,PA,2539.98
2050206,Lower West Branch Susquehanna,West Branch Susquehanna,Susquehanna,Mid Atlantic Region,PA,4685.67
2050301,Lower Susquehanna-Penns,Lower Susquehanna,Susquehanna,Mid Atlantic Region,PA,3750.81
2050302,Upper Juniata,Lower Susquehanna,Susquehanna,Mid Atlantic Region,PA,2566.37
