Model,Member,Var,Season,Stat,value,Rank
ACCESS-CM2,r1i1p1f1,pr,DJF,RMSE,3.4,NA
ACCESS-CM2,r1i1p1f1,pr,DJF,BIAS,-0.4,NA
ACCESS-CM2,r1i1p1f1,pr,MAM,RMSE,4.4,NA
ACCESS-CM2,r1i1p1f1,pr,MAM,BIAS,-0.1,NA
ACCESS-CM2,r1i1p1f1,pr,JJA,RMSE,7.6,NA
ACCESS-CM2,r1i1p1f1,pr,JJA,BIAS,0.4,NA
ACCESS-CM2,r1i1p1f1,pr,SON,RMSE,4.9,NA
ACCESS-CM2,r1i1p1f1,pr,SON,BIAS,-0.6,NA
ACCESS-CM2,r2i1p1f1,pr,DJF,RMSE,3.4,NA
ACCESS-CM2,r2i1p1f1,pr,DJF,BIAS,1.4,NA
ACCESS-CM2,r2i1p1f1,pr,MAM,RMSE,4.6,NA
ACCESS-CM2,r2i1p1f1,pr,MAM,BIAS,-0.6,NA
ACCESS-CM2,r2i1p1f1,pr,JJA,RMSE,7.7,NA
ACCESS-CM2,r2i1p1f1,pr,JJA,BIAS,-2.2,NA
ACCESS-CM2,r2i1p1f1,pr,SON,RMSE,4.6,NA
ACCESS-CM2,r2i1p1f1,pr,SON,BIAS,-0.4,NA
ACCESS-CM2,r3i1p1f1,pr,DJF,RMSE,3.4,NA
ACCESS-CM2,r3i1p1f1,pr,DJF,BIAS,0,NA
ACCESS-CM2,r3i1p1f1,pr,MAM,RMSE,4.6,NA
ACCESS-CM2,r3i1p1f1,pr,MAM,BIAS,-0.1,NA
ACCESS-CM2,r3i1p1f1,pr,JJA,RMSE,6.7,NA
ACCESS-CM2,r3i1p1f1,pr,JJA,BIAS,-1.5,NA
ACCESS-CM2,r3i1p1f1,pr,SON,RMSE,5.4,NA
ACCESS-CM2,r3i1p1f1,pr,SON,BIAS,2.5,NA
ACCESS-ESM1-5,r1i1p1f1,pr,DJF,RMSE,3.7,NA
ACCESS-ESM1-5,r1i1p1f1,pr,DJF,BIAS,1.4,NA
ACCESS-ESM1-5,r1i1p1f1,pr,MAM,RMSE,4.3,NA
ACCESS-ESM1-5,r1i1p1f1,pr,MAM,BIAS,-1,NA
ACCESS-ESM1-5,r1i1p1f1,pr,JJA,RMSE,6.3,NA
ACCESS-ESM1-5,r1i1p1f1,pr,JJA,BIAS,0.8,NA
ACCESS-ESM1-5,r1i1p1f1,pr,SON,RMSE,5.1,NA
ACCESS-ESM1-5,r1i1p1f1,pr,SON,BIAS,0.2,NA
ACCESS-ESM1-5,r2i1p1f1,pr,DJF,RMSE,3.4,NA
ACCESS-ESM1-5,r2i1p1f1,pr,DJF,BIAS,0.5,NA
ACCESS-ESM1-5,r2i1p1f1,pr,MAM,RMSE,6.1,NA
ACCESS-ESM1-5,r2i1p1f1,pr,MAM,BIAS,0.6,NA
ACCESS-ESM1-5,r2i1p1f1,pr,JJA,RMSE,7,NA
ACCESS-ESM1-5,r2i1p1f1,pr,JJA,BIAS,-0.9,NA
ACCESS-ESM1-5,r2i1p1f1,pr,SON,RMSE,4.4,NA
ACCESS-ESM1-5,r2i1p1f1,pr,SON,BIAS,0.8,NA
ACCESS-ESM1-5,r3i1p1f1,pr,DJF,RMSE,3.7,NA
ACCESS-ESM1-5,r3i1p1f1,pr,DJF,BIAS,-0.9,NA
ACCESS-ESM1-5,r3i1p1f1,pr,MAM,RMSE,4.7,NA
ACCESS-ESM1-5,r3i1p1f1,pr,MAM,BIAS,-0.6,NA
ACCESS-ESM1-5,r3i1p1f1,pr,JJA,RMSE,7.7,NA
ACCESS-ESM1-5,r3i1p1f1,pr,JJA,BIAS,-2.5,NA
ACCESS-ESM1-5,r3i1p1f1,pr,SON,RMSE,5.4,NA
ACCESS-ESM1-5,r3i1p1f1,pr,SON,BIAS,0.7,NA
ACCESS-ESM1-5,r4i1p1f1,pr,DJF,RMSE,4.7,NA
ACCESS-ESM1-5,r4i1p1f1,pr,DJF,BIAS,-0.4,NA
ACCESS-ESM1-5,r4i1p1f1,pr,MAM,RMSE,4.3,NA
ACCESS-ESM1-5,r4i1p1f1,pr,MAM,BIAS,-0.6,NA
ACCESS-ESM1-5,r4i1p1f1,pr,JJA,RMSE,7.9,NA
ACCESS-ESM1-5,r4i1p1f1,pr,JJA,BIAS,-2.1,NA
ACCESS-ESM1-5,r4i1p1f1,pr,SON,RMSE,5.5,NA
ACCESS-ESM1-5,r4i1p1f1,pr,SON,BIAS,-0.3,NA
ACCESS-ESM1-5,r5i1p1f1,pr,DJF,RMSE,4.5,NA
ACCESS-ESM1-5,r5i1p1f1,pr,DJF,BIAS,0.7,NA
ACCESS-ESM1-5,r5i1p1f1,pr,MAM,RMSE,4.5,NA
ACCESS-ESM1-5,r5i1p1f1,pr,MAM,BIAS,0.6,NA
ACCESS-ESM1-5,r5i1p1f1,pr,JJA,RMSE,6.9,NA
ACCESS-ESM1-5,r5i1p1f1,pr,JJA,BIAS,-0.6,NA
ACCESS-ESM1-5,r5i1p1f1,pr,SON,RMSE,4.7,NA
ACCESS-ESM1-5,r5i1p1f1,pr,SON,BIAS,1.5,NA
AWI-CM-1-1-MR,r1i1p1f1,pr,DJF,RMSE,4.8,NA
AWI-CM-1-1-MR,r1i1p1f1,pr,DJF,BIAS,0.7,NA
AWI-CM-1-1-MR,r1i1p1f1,pr,MAM,RMSE,5,NA
AWI-CM-1-1-MR,r1i1p1f1,pr,MAM,BIAS,0.3,NA
AWI-CM-1-1-MR,r1i1p1f1,pr,JJA,RMSE,7.9,NA
AWI-CM-1-1-MR,r1i1p1f1,pr,JJA,BIAS,-0.1,NA
AWI-CM-1-1-MR,r1i1p1f1,pr,SON,RMSE,5.2,NA
AWI-CM-1-1-MR,r1i1p1f1,pr,SON,BIAS,2.2,NA
AWI-CM-1-1-MR,r2i1p1f1,pr,DJF,RMSE,4.2,NA
AWI-CM-1-1-MR,r2i1p1f1,pr,DJF,BIAS,-0.3,NA
AWI-CM-1-1-MR,r2i1p1f1,pr,MAM,RMSE,5.2,NA
AWI-CM-1-1-MR,r2i1p1f1,pr,MAM,BIAS,-0.6,NA
AWI-CM-1-1-MR,r2i1p1f1,pr,JJA,RMSE,8.5,NA
AWI-CM-1-1-MR,r2i1p1f1,pr,JJA,BIAS,-0.8,NA
AWI-CM-1-1-MR,r2i1p1f1,pr,SON,RMSE,5,NA
AWI-CM-1-1-MR,r2i1p1f1,pr,SON,BIAS,-2.2,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,DJF,RMSE,4.2,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,DJF,BIAS,-0.1,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,MAM,RMSE,5.4,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,MAM,BIAS,-1.6,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,JJA,RMSE,8.6,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,JJA,BIAS,-4,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,SON,RMSE,5.6,NA
AWI-CM-1-1-MR,r3i1p1f1,pr,SON,BIAS,1.2,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,DJF,RMSE,4.2,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,DJF,BIAS,-0.5,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,MAM,RMSE,5.2,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,MAM,BIAS,2,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,JJA,RMSE,7.9,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,JJA,BIAS,1.1,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,SON,RMSE,6.7,NA
AWI-CM-1-1-MR,r4i1p1f1,pr,SON,BIAS,2.7,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,DJF,RMSE,4.1,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,DJF,BIAS,-1.3,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,MAM,RMSE,5.4,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,MAM,BIAS,-1.9,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,JJA,RMSE,8.2,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,JJA,BIAS,-1.9,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,SON,RMSE,5.8,NA
AWI-CM-1-1-MR,r5i1p1f1,pr,SON,BIAS,-3.2,NA
BCC-CSM2-MR,r1i1p1f1,pr,DJF,RMSE,1.7,NA
BCC-CSM2-MR,r1i1p1f1,pr,DJF,BIAS,-0.1,NA
BCC-CSM2-MR,r1i1p1f1,pr,MAM,RMSE,2.7,NA
BCC-CSM2-MR,r1i1p1f1,pr,MAM,BIAS,-0.2,NA
