Model,Member,value,Var,Season,Stat,Rank
INM-CM5-0,r3i1p1f1,9.848350115628508,All,Annual,Both,2
FGOALS-g3,r1i1p1f1,9.9428366173844,All,Annual,Both,2
MRI-ESM2-0,r1i1p1f1,10.19313494465761,All,Annual,Both,2
NorESM2-LM,r3i1p1f1,10.250853622991604,All,Annual,Both,2
HadGEM3-GC31-MM,r1i1p1f3,10.323759005323598,All,Annual,Both,2
MIROC6,r2i1p1f1,10.395672176439584,All,Annual,Both,2
ACCESS-ESM1-5,r5i1p1f1,10.676141625137806,All,Annual,Both,2
ACCESS-CM2,r3i1p1f1,10.747092630102342,All,Annual,Both,2
EC-Earth3,r4i1p1f1,10.884392495679311,All,Annual,Both,2
CESM2-LENS,r6i1p1f1,10.906420127612913,All,Annual,Both,2
NorESM2-MM,r1i1p1f1,11.102702373746677,All,Annual,Both,2
EC-Earth3-Veg,r3i1p1f1,11.24455423749648,All,Annual,Both,2
HadGEM3-GC31-LL,r2i1p1f3,11.357376457615548,All,Annual,Both,2
KACE-1-0-G,r1i1p1f1,11.367057666784305,All,Annual,Both,2
IPSL-CM6A-LR,r2i1p1f1,11.433722053644642,All,Annual,Both,2
MPI-ESM1-2-HR,r2i1p1f1,11.849894514298423,All,Annual,Both,2
CanESM5,r4i1p1f1,12.075595223424799,All,Annual,Both,2
AWI-CM-1-1-MR,r2i1p1f1,12.166347027764738,All,Annual,Both,2
MPI-ESM1-2-LR,r3i1p1f1,12.257650672131255,All,Annual,Both,2
