Model,Member,Var,Season,RMSE,BIAS,Both
ACCESS-CM2,r1i1p1f1,pr,DJF,3.4,-0.4,3.4234485537247377
ACCESS-CM2,r1i1p1f1,pr,MAM,4.4,-0.1,4.401136216933078
ACCESS-CM2,r1i1p1f1,pr,JJA,7.6,0.4,7.6105190361761785
ACCESS-CM2,r1i1p1f1,pr,SON,4.9,-0.6,4.9365980188789935
ACCESS-CM2,r2i1p1f1,pr,DJF,3.4,1.4,3.676955262170047
ACCESS-CM2,r2i1p1f1,pr,MAM,4.6,-0.6,4.638965401897281
ACCESS-CM2,r2i1p1f1,pr,JJA,7.7,-2.2,8.00812087820857
ACCESS-CM2,r2i1p1f1,pr,SON,4.6,-0.4,4.617358552246078
ACCESS-CM2,r3i1p1f1,pr,DJF,3.4,0,3.4
ACCESS-CM2,r3i1p1f1,pr,MAM,4.6,-0.1,4.601086828130936
ACCESS-CM2,r3i1p1f1,pr,JJA,6.7,-1.5,6.865857557508749
ACCESS-CM2,r3i1p1f1,pr,SON,5.4,2.5,5.950630218724736
ACCESS-ESM1-5,r1i1p1f1,pr,DJF,3.7,1.4,3.9560080889704965
ACCESS-ESM1-5,r1i1p1f1,pr,MAM,4.3,-1,4.414748010928823
ACCESS-ESM1-5,r1i1p1f1,pr,JJA,6.3,0.8,6.350590523722971
ACCESS-ESM1-5,r1i1p1f1,pr,SON,5.1,0.2,5.103920062069938
ACCESS-ESM1-5,r2i1p1f1,pr,DJF,3.4,0.5,3.4365680554879163
ACCESS-ESM1-5,r2i1p1f1,pr,MAM,6.1,0.6,6.129437168288781
ACCESS-ESM1-5,r2i1p1f1,pr,JJA,7,-0.9,7.057619995437555
ACCESS-ESM1-5,r2i1p1f1,pr,SON,4.4,0.8,4.47213595499958
ACCESS-ESM1-5,r3i1p1f1,pr,DJF,3.7,-0.9,3.8078865529319543
ACCESS-ESM1-5,r3i1p1f1,pr,MAM,4.7,-0.6,4.738143096192854
ACCESS-ESM1-5,r3i1p1f1,pr,JJA,7.7,-2.5,8.095677859203638
ACCESS-ESM1-5,r3i1p1f1,pr,SON,5.4,0.7,5.445181356024793
ACCESS-ESM1-5,r4i1p1f1,pr,DJF,4.7,-0.4,4.7169905660283025
ACCESS-ESM1-5,r4i1p1f1,pr,MAM,4.3,-0.6,4.341658669218481
ACCESS-ESM1-5,r4i1p1f1,pr,JJA,7.9,-2.1,8.174350127074323
ACCESS-ESM1-5,r4i1p1f1,pr,SON,5.5,-0.3,5.508175741568165
ACCESS-ESM1-5,r5i1p1f1,pr,DJF,4.5,0.7,4.55411901469428
ACCESS-ESM1-5,r5i1p1f1,pr,MAM,4.5,0.6,4.539823785126467
ACCESS-ESM1-5,r5i1p1f1,pr,JJA,6.9,-0.6,6.926037828369118
ACCESS-ESM1-5,r5i1p1f1,pr,SON,4.7,1.5,4.933558553417604
AWI-CM-1-1-MR,r1i1p1f1,pr,DJF,4.8,0.7,4.850773134253961
AWI-CM-1-1-MR,r1i1p1f1,pr,MAM,5,0.3,5.008991914547277
AWI-CM-1-1-MR,r1i1p1f1,pr,JJA,7.9,-0.1,7.900632886041472
AWI-CM-1-1-MR,r1i1p1f1,pr,SON,5.2,2.2,5.646237685397242
AWI-CM-1-1-MR,r2i1p1f1,pr,DJF,4.2,-0.3,4.21070065428546
AWI-CM-1-1-MR,r2i1p1f1,pr,MAM,5.2,-0.6,5.2345009313209605
AWI-CM-1-1-MR,r2i1p1f1,pr,JJA,8.5,-0.8,8.537564055396597
AWI-CM-1-1-MR,r2i1p1f1,pr,SON,5,-2.2,5.462600113499065
AWI-CM-1-1-MR,r3i1p1f1,pr,DJF,4.2,-0.1,4.201190307520001
AWI-CM-1-1-MR,r3i1p1f1,pr,MAM,5.4,-1.6,5.63205113613149
AWI-CM-1-1-MR,r3i1p1f1,pr,JJA,8.6,-4,9.484724561103501
AWI-CM-1-1-MR,r3i1p1f1,pr,SON,5.6,1.2,5.727128425310541
AWI-CM-1-1-MR,r4i1p1f1,pr,DJF,4.2,-0.5,4.2296571965113205
AWI-CM-1-1-MR,r4i1p1f1,pr,MAM,5.2,2,5.571355310873648
AWI-CM-1-1-MR,r4i1p1f1,pr,JJA,7.9,1.1,7.976214641043708
AWI-CM-1-1-MR,r4i1p1f1,pr,SON,6.7,2.7,7.22357252334328
AWI-CM-1-1-MR,r5i1p1f1,pr,DJF,4.1,-1.3,4.301162633521313
AWI-CM-1-1-MR,r5i1p1f1,pr,MAM,5.4,-1.9,5.724508712544685
AWI-CM-1-1-MR,r5i1p1f1,pr,JJA,8.2,-1.9,8.417244204607586
AWI-CM-1-1-MR,r5i1p1f1,pr,SON,5.8,-3.2,6.624198064671678
BCC-CSM2-MR,r1i1p1f1,pr,DJF,1.7,-0.1,1.70293863659264
BCC-CSM2-MR,r1i1p1f1,pr,MAM,2.7,-0.2,2.7073972741361767
BCC-CSM2-MR,r1i1p1f1,pr,JJA,4.8,-0.8,4.866210024238575
BCC-CSM2-MR,r1i1p1f1,pr,SON,2.5,0.5,2.5495097567963922
CESM2-LENS,r1i1p1f1,pr,DJF,4.4,1.5,4.648655719667784
CESM2-LENS,r1i1p1f1,pr,MAM,5.3,-0.5,5.323532661682466
CESM2-LENS,r1i1p1f1,pr,JJA,6.8,-2.6,7.280109889280518
CESM2-LENS,r1i1p1f1,pr,SON,4.8,0.5,4.825971404805461
CESM2-LENS,r2i1p1f1,pr,DJF,5.1,-0.2,5.103920062069938
CESM2-LENS,r2i1p1f1,pr,MAM,4.6,-1,4.707440918375927
CESM2-LENS,r2i1p1f1,pr,JJA,7.1,-1.4,7.236711960552251
CESM2-LENS,r2i1p1f1,pr,SON,5.8,1.3,5.943904440685432
CESM2-LENS,r3i1p1f1,pr,DJF,4.2,-2.4,4.8373546489791295
CESM2-LENS,r3i1p1f1,pr,MAM,5,1.4,5.192301994298868
CESM2-LENS,r3i1p1f1,pr,JJA,6.3,0.3,6.307138812488591
CESM2-LENS,r3i1p1f1,pr,SON,5.8,-0.6,5.830951894845301
CESM2-LENS,r4i1p1f1,pr,DJF,4.5,-2.5,5.1478150704935
CESM2-LENS,r4i1p1f1,pr,MAM,4.6,-0.4,4.617358552246078
CESM2-LENS,r4i1p1f1,pr,JJA,6.6,0,6.6
CESM2-LENS,r4i1p1f1,pr,SON,5.1,0.6,5.1351728305871065
CESM2-LENS,r5i1p1f1,pr,DJF,4.5,-1.5,4.743416490252569
CESM2-LENS,r5i1p1f1,pr,MAM,5.4,-1,5.491812087098393
CESM2-LENS,r5i1p1f1,pr,JJA,7.3,-0.4,7.310950690573695
CESM2-LENS,r5i1p1f1,pr,SON,4.5,0.1,4.50111097397076
CESM2-LENS,r6i1p1f1,pr,DJF,4.6,2.4,5.188448708429139
CESM2-LENS,r6i1p1f1,pr,MAM,5.7,-1.2,5.82494635168428
CESM2-LENS,r6i1p1f1,pr,JJA,5.9,-0.8,5.953990258641679
CESM2-LENS,r6i1p1f1,pr,SON,4.6,1.1,4.729693436154187
CESM2-LENS,r7i1p1f1,pr,DJF,5.7,-0.5,5.721887800367987
CESM2-LENS,r7i1p1f1,pr,MAM,4.4,0.4,4.418144406874904
CESM2-LENS,r7i1p1f1,pr,JJA,7,-2.1,7.308214556237385
CESM2-LENS,r7i1p1f1,pr,SON,4.2,0.1,4.201190307520001
CESM2-LENS,r8i1p1f1,pr,DJF,4.3,-0.3,4.310452412450461
CESM2-LENS,r8i1p1f1,pr,MAM,5.3,-0.3,5.308483775994799
CESM2-LENS,r8i1p1f1,pr,JJA,7.6,-2.3,7.940403012442126
CESM2-LENS,r8i1p1f1,pr,SON,6.7,-0.2,6.702984409947557
CESM2-LENS,r9i1p1f1,pr,DJF,3.8,-0.2,3.8052595180880893
CESM2-LENS,r9i1p1f1,pr,MAM,5.9,1.7,6.1400325732035
CESM2-LENS,r9i1p1f1,pr,JJA,7.7,1.3,7.8089692021418555
CESM2-LENS,r9i1p1f1,pr,SON,5.5,-0.6,5.532630477449222
CESM2-LENS,r10i1p1f1,pr,DJF,4,2.1,4.517742799230607
CESM2-LENS,r10i1p1f1,pr,MAM,5.9,-2.3,6.332456079595025
CESM2-LENS,r10i1p1f1,pr,JJA,6.6,-0.9,6.661080993352355
CESM2-LENS,r10i1p1f1,pr,SON,5.4,-0.2,5.403702434442518
CNRM-CM6-1,r1i1p1f2,pr,DJF,1.9,0,1.9
CNRM-CM6-1,r1i1p1f2,pr,MAM,2.7,-0.1,2.701851217221259
CNRM-CM6-1,r1i1p1f2,pr,JJA,5,-0.8,5.063595560468865
CNRM-CM6-1,r1i1p1f2,pr,SON,2.4,0.3,2.4186773244895647
CNRM-CM6-1-HR,r1i1p1f2,pr,DJF,2.2,-0.3,2.220360331117452
CNRM-CM6-1-HR,r1i1p1f2,pr,MAM,3,-0.5,3.0413812651491097
CNRM-CM6-1-HR,r1i1p1f2,pr,JJA,5.3,-0.9,5.375872022286245
CNRM-CM6-1-HR,r1i1p1f2,pr,SON,2.4,0.1,2.4020824298928627
CNRM-ESM2-1,r1i1p1f2,pr,DJF,2.2,-0.2,2.209072203437452
CNRM-ESM2-1,r1i1p1f2,pr,MAM,2.7,-0.2,2.7073972741361767
CNRM-ESM2-1,r1i1p1f2,pr,JJA,5.1,-0.8,5.162363799656123
CNRM-ESM2-1,r1i1p1f2,pr,SON,2.4,0,2.4
CanESM5,r1i1p1f1,pr,DJF,4.7,2.1,5.1478150704935
CanESM5,r1i1p1f1,pr,MAM,4.8,0.4,4.8166378315169185
CanESM5,r1i1p1f1,pr,JJA,6,0.3,6.007495318350236
CanESM5,r1i1p1f1,pr,SON,5.1,0.5,5.124451190127583
CanESM5,r2i1p1f1,pr,DJF,4.8,-0.3,4.809365862564419
CanESM5,r2i1p1f1,pr,MAM,6.3,-2.8,6.894200461257273
CanESM5,r2i1p1f1,pr,JJA,6.4,0.1,6.400781202322104
CanESM5,r2i1p1f1,pr,SON,6.5,0.9,6.5620118866091675
CanESM5,r3i1p1f1,pr,DJF,5,-0.9,5.080354318352215
CanESM5,r3i1p1f1,pr,MAM,5.2,1.7,5.470831746635972
CanESM5,r3i1p1f1,pr,JJA,8.1,-2.6,8.507055894961546
CanESM5,r3i1p1f1,pr,SON,6.1,1.8,6.360031446463138
CanESM5,r4i1p1f1,pr,DJF,5.3,2,5.664803615307419
CanESM5,r4i1p1f1,pr,MAM,4.3,-0.1,4.301162633521313
CanESM5,r4i1p1f1,pr,JJA,6.9,0.3,6.906518659932804
CanESM5,r4i1p1f1,pr,SON,6.4,2.5,6.870953354520754
CanESM5,r5i1p1f1,pr,DJF,5.9,-2.5,6.407807737440318
CanESM5,r5i1p1f1,pr,MAM,5.2,0.6,5.2345009313209605
CanESM5,r5i1p1f1,pr,JJA,7.6,-1.9,7.8339006886735545
CanESM5,r5i1p1f1,pr,SON,5.5,0.6,5.532630477449222
CanESM5,r6i1p1f1,pr,DJF,4.7,0.7,4.751841748206689
CanESM5,r6i1p1f1,pr,MAM,6.4,-1.1,6.493843238021689
CanESM5,r6i1p1f1,pr,JJA,7.5,-0.9,7.553806987208503
CanESM5,r6i1p1f1,pr,SON,4.7,1.5,4.933558553417604
CanESM5,r7i1p1f1,pr,DJF,4.5,-0.1,4.50111097397076
CanESM5,r7i1p1f1,pr,MAM,5,-0.1,5.000999900019995
CanESM5,r7i1p1f1,pr,JJA,7,-1.8,7.227724399837061
CanESM5,r7i1p1f1,pr,SON,7.6,-3.2,8.246211251235321
EC-Earth3,r1i1p1f1,pr,DJF,3.6,1.3,3.8275318418009276
EC-Earth3,r1i1p1f1,pr,MAM,4.8,-0.9,4.8836461788299115
EC-Earth3,r1i1p1f1,pr,JJA,8.1,-1.2,8.188406438373708
EC-Earth3,r1i1p1f1,pr,SON,4.7,1,4.805205510693586
EC-Earth3,r2i1p1f1,pr,DJF,4.2,-0.1,4.201190307520001
EC-Earth3,r2i1p1f1,pr,MAM,4.4,-1.1,4.535416188179427
EC-Earth3,r2i1p1f1,pr,JJA,6.1,-1.5,6.281719509815764
EC-Earth3,r2i1p1f1,pr,SON,4.9,0.8,4.964876634922565
