Model,Member,Var,Season,RMSE,BIAS,Both
GFDL-ESM4,r1i1p1f1,All,Annual,6.076183012,0.964365076,6.152235366
BCC-CSM2-MR,r1i1p1f1,All,Annual,6.283311229,0.969535971,6.35767253
GFDL-CM4,r1i1p1f1,All,Annual,6.400781202,1.122497216,6.498461356
CNRM-CM6-1,r1i1p1f2,All,Annual,6.456004957,0.860232527,6.513063795
TaiESM1,r1i1p1f1,All,Annual,6.596969001,0.905538514,6.658828726
CNRM-ESM2-1,r1i1p1f2,All,Annual,6.62721661,0.848528137,6.681317235
CNRM-CM6-1-HR,r1i1p1f2,All,Annual,6.907242576,1.077032961,6.990708119
INM-CM4-8,r1i1p1f1,All,Annual,7.202777242,0.714142843,7.238093672
MIROC6,r1i1p1f1,All,Annual,7.897467949,2.076053949,8.165782265
MRI-ESM2-0,r5i1p1f1,All,Annual,9.321480569,1.208304597,9.39946807
INM-CM5-0,r4i1p1f1,All,Annual,9.424436323,1.805547009,9.595832429
HadGEM3-GC31-MM,r2i1p1f3,All,Annual,9.474175426,2.220360331,9.730878686
NorESM2-LM,r2i1p1f1,All,Annual,9.856977224,0.943398113,9.902019996
FGOALS-g3,r3i1p1f1,All,Annual,9.857991682,1.2,9.930760293
ACCESS-ESM1-5,r1i1p1f1,All,Annual,9.901010049,1.923538406,10.08612909
HadGEM3-GC31-LL,r3i1p1f3,All,Annual,9.837682654,2.393741841,10.12472222
EC-Earth3,r2i1p1f1,All,Annual,9.927235265,2.097617696,10.14642794
NorESM2-MM,r2i1p1f1,All,Annual,9.676259608,3.37194306,10.24695077
CanESM5,r1i1p1f1,All,Annual,10.35953667,2.222611077,10.59528197
ACCESS-CM2,r1i1p1f1,All,Annual,10.62402937,0.842614977,10.6573918
CESM2-LENS,r4i1p1f1,All,Annual,10.5517771,2.632489316,10.87520115
IPSL-CM6A-LR,r3i1p1f1,All,Annual,10.55698821,2.716615541,10.90091739
EC-Earth3-Veg,r4i1p1f1,All,Annual,10.6995327,2.284731932,10.94074952
KACE-1-0-G,r2i1p1f1,All,Annual,11.02134293,2.247220505,11.24811095
MPI-ESM1-2-HR,r10i1p1f1,All,Annual,11.30973032,2.433105012,11.56849169
MPI-ESM1-2-LR,r10i1p1f1,All,Annual,11.86802427,1.403566885,11.9507322
AWI-CM-1-1-MR,r1i1p1f1,All,Annual,11.7405281,2.387467277,11.980818
