Model,Member,Var,Season,RMSE,BIAS,Both
GFDL-ESM4,r1i1p1f1,All,Annual,6.076183012,0.964365076,6.152235366
BCC-CSM2-MR,r1i1p1f1,All,Annual,6.283311229,0.969535971,6.35767253
GFDL-CM4,r1i1p1f1,All,Annual,6.400781202,1.122497216,6.498461356
TaiESM1,r1i1p1f1,All,Annual,6.596969001,0.905538514,6.658828726
INM-CM4-8,r1i1p1f1,All,Annual,7.202777242,0.714142843,7.238093672
MIROC6,r1i1p1f1,All,Annual,7.897467949,2.076053949,8.165782265
FGOALS-g3,r1i1p1f1,All,Annual,9.775990998,1.813835715,9.942836617
NorESM2-LM,r1i1p1f1,All,Annual,9.788258272,3.215587038,10.30291221
MRI-ESM2-0,r1i1p1f1,All,Annual,9.825477088,2.712931993,10.19313494
INM-CM5-0,r1i1p1f1,All,Annual,9.85139584,1.170469991,9.92068546
ACCESS-ESM1-5,r1i1p1f1,All,Annual,9.901010049,1.923538406,10.08612909
CanESM5,r1i1p1f1,All,Annual,10.35953667,2.222611077,10.59528197
NorESM2-MM,r1i1p1f1,All,Annual,10.42161216,3.828837944,11.10270237
ACCESS-CM2,r1i1p1f1,All,Annual,10.62402937,0.842614977,10.6573918
CESM2-LENS,r1i1p1f1,All,Annual,10.81526699,3.096772513,11.24988889
KACE-1-0-G,r1i1p1f1,All,Annual,11.18078709,2.049390153,11.36705767
EC-Earth3,r1i1p1f1,All,Annual,11.25122216,2.749545417,11.5823141
IPSL-CM6A-LR,r1i1p1f1,All,Annual,11.68631679,1.723368794,11.81270502
AWI-CM-1-1-MR,r1i1p1f1,All,Annual,11.7405281,2.387467277,11.980818
EC-Earth3-Veg,r1i1p1f1,All,Annual,12.00291631,2.692582404,12.30121945
MPI-ESM1-2-HR,r1i1p1f1,All,Annual,12.27965798,1.630950643,12.38749369
MPI-ESM1-2-LR,r1i1p1f1,All,Annual,13.02459212,4.3829214,13.74227055
