CLIMDIV,FIPS_CD,STATE_FIPS,CD_2DIG,STATE_CODE,CD_NEW,NAME,STATE,ST_ABBRV
101,0101,01,01,1,1,NORTHERN VALLEY,Alabama,AL
102,0102,01,02,1,2,APPALACHIAN MOUNTAIN,Alabama,AL
103,0103,01,03,1,3,UPPER PLAINS,Alabama,AL
104,0104,01,04,1,4,EASTERN VALLEY,Alabama,AL
105,0105,01,05,1,5,PIEDMONT PLATEAU,Alabama,AL
106,0106,01,06,1,6,PRAIRIE,Alabama,AL
107,0107,01,07,1,7,COASTAL PLAIN,Alabama,AL
108,0108,01,08,1,8,GULF,Alabama,AL
201,0401,04,01,2,1,NORTHWEST,Arizona,AZ
202,0402,04,02,2,2,NORTHEAST,Arizona,AZ
203,0403,04,03,2,3,NORTH CENTRAL,Arizona,AZ
204,0404,04,04,2,4,EAST CENTRAL,Arizona,AZ
205,0405,04,05,2,5,SOUTHWEST,Arizona,AZ
206,0406,04,06,2,6,SOUTH CENTRAL,Arizona,AZ
207,0407,04,07,2,7,SOUTHEAST,Arizona,AZ
301,0501,05,01,3,1,NORTHWEST,Arkansas,AR
302,0502,05,02,3,2,NORTH CENTRAL,Arkansas,AR
303,0503,05,03,3,3,NORTHEAST,Arkansas,AR
304,0504,05,04,3,4,WEST CENTRAL,Arkansas,AR
305,0505,05,05,3,5,CENTRAL,Arkansas,AR
306,0506,05,06,3,6,EAST CENTRAL,Arkansas,AR
307,0507,05,07,3,7,SOUTHWEST,Arkansas,AR
308,0508,05,08,3,8,SOUTH CENTRAL,Arkansas,AR
309,0509,05,09,3,9,SOUTHEAST,Arkansas,AR
401,0601,06,01,4,1,NORTH COAST DRAINAGE,California,CA
402,0602,06,02,4,2,SACRAMENTO DRNG.,California,CA
403,0603,06,03,4,3,NORTHEAST INTER. BASINS,California,CA
404,0604,06,04,4,4,CENTRAL COAST DRNG.,California,CA
405,0605,06,05,4,5,SAN JOAQUIN DRNG.,California,CA
406,0606,06,06,4,6,SOUTH COAST DRNG.,California,CA
407,0607,06,07,4,7,SOUTHEAST DESERT BASIN,California,CA
501,0801,08,01,5,1,ARKANSAS DRAINAGE BASIN,Colorado,CO
502,0802,08,02,5,2,COLORADO DRAINAGE BASIN,Colorado,CO
503,0803,08,03,5,3,KANSAS DRAINAGE BASIN,Colorado,CO
504,0804,08,04,5,4,PLATTE DRAINAGE BASIN,Colorado,CO
505,0805,08,05,5,5,RIO GRANDE DRAINAGE BASIN,Colorado,CO
601,0901,09,01,6,1,NORTHWEST,Connecticut,CT
602,0902,09,02,6,2,CENTRAL,Connecticut,CT
603,0903,09,03,6,3,COASTAL,Connecticut,CT
701,1001,10,01,7,1,NORTHERN,Delaware,DE
702,1002,10,02,7,2,SOUTHERN,Delaware,DE
801,1201,12,01,8,1,NORTHWEST,Florida,FL
802,1202,12,02,8,2,NORTH,Florida,FL
803,1203,12,03,8,3,NORTH CENTRAL,Florida,FL
804,1204,12,04,8,4,SOUTH CENTRAL,Florida,FL
805,1205,12,05,8,5,EVERGLADES,Florida,FL
806,1206,12,06,8,6,LOWER EAST COAST,Florida,FL
807,1207,12,07,8,7,KEYS,Florida,FL
901,1301,13,01,9,1,NORTHWEST,Georgia,GA
902,1302,13,02,9,2,NORTH CENTRAL,Georgia,GA
903,1303,13,03,9,3,NORTHEAST,Georgia,GA
904,1304,13,04,9,4,WEST CENTRAL,Georgia,GA
905,1305,13,05,9,5,CENTRAL,Georgia,GA
906,1306,13,06,9,6,EAST CENTRAL,Georgia,GA
907,1307,13,07,9,7,SOUTHWEST,Georgia,GA
908,1308,13,08,9,8,SOUTH CENTRAL,Georgia,GA
909,1309,13,09,9,9,SOUTHEAST,Georgia,GA
1001,1601,16,01,10,1,PANHANDLE,Idaho,ID
1002,1602,16,02,10,2,NORTH CENTRAL PRAIRIES,Idaho,ID
1003,1603,16,03,10,3,NORTH CENTRAL CANYONS,Idaho,ID
1004,1604,16,04,10,4,CENTRAL MOUNTAINS,Idaho,ID
1005,1605,16,05,10,5,SOUTHWESTERN VALLEYS,Idaho,ID
1006,1606,16,06,10,6,SOUTHWESTERN HIGHLANDS,Idaho,ID
1007,1607,16,07,10,7,CENTRAL PLAINS,Idaho,ID
1008,1608,16,08,10,8,NORTHEASTERN VALLEYS,Idaho,ID
1009,1609,16,09,10,9,UPPER SNAKE RIVER PLAINS,Idaho,ID
1010,1610,16,10,10,10,EASTERN HIGHLANDS,Idaho,ID
1101,1701,17,01,11,1,NORTHWEST,Illinois,IL
1102,1702,17,02,11,2,NORTHEAST,Illinois,IL
1103,1703,17,03,11,3,WEST,Illinois,IL
1104,1704,17,04,11,4,CENTRAL,Illinois,IL
1105,1705,17,05,11,5,EAST,Illinois,IL
1106,1706,17,06,11,6,WEST SOUTHWEST,Illinois,IL
1107,1707,17,07,11,7,EAST SOUTHEAST,Illinois,IL
1108,1708,17,08,11,8,SOUTHWEST,Illinois,IL
1109,1709,17,09,11,9,SOUTHEAST,Illinois,IL
1201,1801,18,01,12,1,NORTHWEST,Indiana,IN
1202,1802,18,02,12,2,NORTH CENTRAL,Indiana,IN
1203,1803,18,03,12,3,NORTHEAST,Indiana,IN
1204,1804,18,04,12,4,WEST CENTRAL,Indiana,IN
1205,1805,18,05,12,5,CENTRAL,Indiana,IN
1206,1806,18,06,12,6,EAST CENTRAL,Indiana,IN
1207,1807,18,07,12,7,SOUTHWEST,Indiana,IN
1208,1808,18,08,12,8,SOUTH CENTRAL,Indiana,IN
1209,1809,18,09,12,9,SOUTHEAST,Indiana,IN
1301,1901,19,01,13,1,NORTHWEST,Iowa,IA
1302,1902,19,02,13,2,NORTH CENTRAL,Iowa,IA
1303,1903,19,03,13,3,NORTHEAST,Iowa,IA
1304,1904,19,04,13,4,WEST CENTRAL,Iowa,IA
1305,1905,19,05,13,5,CENTRAL,Iowa,IA
1306,1906,19,06,13,6,EAST CENTRAL,Iowa,IA
1307,1907,19,07,13,7,SOUTHWEST,Iowa,IA
1308,1908,19,08,13,8,SOUTH CENTRAL,Iowa,IA
1309,1909,19,09,13,9,SOUTHEAST,Iowa,IA
1401,2001,20,01,14,1,NORTHWEST,Kansas,KS
1402,2002,20,02,14,2,NORTH CENTRAL,Kansas,KS
1403,2003,20,03,14,3,NORTHEAST,Kansas,KS
1404,2004,20,04,14,4,WEST CENTRAL,Kansas,KS
1405,2005,20,05,14,5,CENTRAL,Kansas,KS
1406,2006,20,06,14,6,EAST CENTRAL,Kansas,KS
1407,2007,20,07,14,7,SOUTHWEST,Kansas,KS
1408,2008,20,08,14,8,SOUTH CENTRAL,Kansas,KS
1409,2009,20,09,14,9,SOUTHEAST,Kansas,KS
1501,2101,21,01,15,1,WESTERN,Kentucky,KY
1502,2102,21,02,15,2,CENTRAL,Kentucky,KY
1503,2103,21,03,15,3,BLUE GRASS,Kentucky,KY
1504,2104,21,04,15,4,EASTERN,Kentucky,KY
1601,2201,22,01,16,1,NORTHWEST,Louisiana,LA
1602,2202,22,02,16,2,NORTH CENTRAL,Louisiana,LA
1603,2203,22,03,16,3,NORTHEAST,Louisiana,LA
1604,2204,22,04,16,4,WEST CENTRAL,Louisiana,LA
1605,2205,22,05,16,5,CENTRAL,Louisiana,LA
1606,2206,22,06,16,6,EAST CENTRAL,Louisiana,LA
1607,2207,22,07,16,7,SOUTHWEST,Louisiana,LA
1608,2208,22,08,16,8,SOUTH CENTRAL,Louisiana,LA
1609,2209,22,09,16,9,SOUTHEAST,Louisiana,LA
1701,2301,23,01,17,1,NORTHERN,Maine,ME
1702,2302,23,02,17,2,SOUTHERN INTERIOR,Maine,ME
1703,2303,23,03,17,3,COASTAL,Maine,ME
1801,2401,24,01,18,1,SOUTHEASTERN SHORE,Maryland,MD
1802,2402,24,02,18,2,CENTRAL EASTERN SHORE,Maryland,MD
1803,2403,24,03,18,3,LOWER SOUTHERN,Maryland,MD
1804,2404,24,04,18,4,UPPER SOUTHERN,Maryland,MD
1805,2405,24,05,18,5,NORTHEASTERN SHORE,Maryland,MD
1806,2406,24,06,18,6,NORTHERN CENTRAL,Maryland,MD
